Name,Team
Isaac Kiese Thelin,Malmö
Jakob Kindberg,Kalmar
Jonas Knudsen,Malmö
Christian Kouakou,Sirius
Anton Kralj,Degerfors
Dion Krasniqi,Varberg
Daniel Krezic,Degerfors
Ivan Kri?ak,Mjällby
Des Kunst,Varberg
Edvin Kurtulus,Hammarby
Gustaf Lagerbielke,Degerfors
Gustaf Lagerbielke,Elfsborg
Sebastian Lagerlund,Häcken
Mayckel Lahdo,Hammarby
Andreas Landgren,Helsingborg
Karl Larson,Sirius
Alexander Larsson,Sundsvall
Eric Larsson,Malmö
Hugo Larsson,Malmö
Johan Larsson,Elfsborg
Jordan Larsson,AIK
Seb Larsson,AIK
Victor Larsson,Värnamo
Forrest Lasso,Sundsvall
Luke Le Roux,Varberg
Jonathan Levi,Norrköping
Oscar Lewicki,Malmö
Anton Liljenbäck,Varberg
Lucas Lima,Norrköping
Axel Lindahl,Kalmar
Anders Lindegaard,Helsingborg
Erik Lindell,Degerfors
Rasmus Lindkvist,Sundsvall
Joakim Lindner,Varberg
Lucas Lingman,Helsingborg
Wilhelm Loeper,Helsingborg
Jesper Löfgren,Djurgården
David Löfquist,Mjällby
Albin Lohikangas,Värnamo
Emmanuel Lomotey,Malmö
Andri Lucas Guðjohnsen,Norrköping
Gustav Ludwigson,Hammarby
Stojan Luki?,Varberg
Marco Lund,Norrköping
Viktor Lundberg,Helsingborg
Valgeir Lunddal Friðriksson,Häcken
Robert Lundström,Sundsvall
Ismet Lushaku,Varberg
Mikael Lustig,AIK
Montader Madjed,Varberg
Abdussalam Magashy,Värnamo
Richard Magyar,Hammarby
Peter Makrillos,Sundsvall
Eman Markovi?,Norrköping
Eman Markovi?,Göteborg
Marcus Mathisen,Sirius
Tashreeq Matthews,Varberg
Tashreeq Matthews,Sirius
Benjamin Mbunga-Kimpioka,AIK
Joe Mendes,AIK
Gideon Mensah,Varberg
Jesper Merbom Adolfsson,Mjällby
Alexander Miloševi?,AIK
David Mitov Nilsson,Sirius
Niklas Moisander,Malmö
Gustav Molin,Sundsvall
Albin Mörfelt,Degerfors
Albin Mörfelt,Mjällby
Mamudo Moro,Mjällby
Carlos Moros Garcia,Mjällby
Christian Moses,Värnamo
Amar Muhsin,Helsingborg
Ronald Mukiibi,Degerfors
Isak Mulugeta,Djurgården
Adi Nalic,Malmö
Sebastian Nanasi,Kalmar
Sebastian Nanasi,Malmö
Hampus Näsström,Värnamo
Ludvig Nåvik,Sundsvall
Nahom Netabay,Kalmar
Netinho,Värnamo
Lasse Nielsen,Malmö
Anton Nilsson,Helsingborg
Joel Nilsson,Hammarby
Sebastian Nilsson,Kalmar
William Nilsson,Häcken
Kristoffer Nordfeldt,AIK
Gustaf Norlin,Göteborg
Patrick Nwadike,Sirius
Silas Nwankwo,Mjällby
Alfons Nygaard,Göteborg
Christoffer Nyman,Norrköping
Sebastian Ohlsson,Degerfors
Jeppe Okkels,Elfsborg
Davíð Ólafsson,Kalmar
Lars Olden Larsen,Häcken
Dennis Olsson,Sundsvall
Dennis Olsson,Helsingborg
Filip Olsson,Sirius
Martin Olsson,Malmö
Simon Olsson,Elfsborg
Jacob Ondrejka,Elfsborg
Rasmus Örqvist,Degerfors
Jacob Ortmark,Norrköping
Eric Ouma,AIK
Timothy Ouma,Elfsborg
Sotirios Papagiannopoulos,AIK
Bjørn Paulsen,Hammarby
Sergio Peña,Malmö
Noah Persson,Mjällby
Paya Pichkah,Sundsvall
Shaquille Pinas,Hammarby
Ahmed Qasem,Elfsborg
Amin Raafat,Helsingborg
Haris Radetinac,Djurgården
Hákon Rafn Valdimarsson,Elfsborg
Adhavan Rajamohan,Degerfors
Erdal Rakip,Malmö
Jonathan Rasheed,Häcken
Jonathan Rasheed,Värnamo
Heradi Rashidi,Mjällby
Theodore Rask,Norrköping
Jacob Redenfors,Varberg
Philip Rejnhold,Helsingborg
Ricardo,Kalmar
Søren Rieks,Malmö
Erik Ring,AIK
Jamie Roche,Sirius
Filip Rogi?,Sirius
Thomas Rogne,Helsingborg
Romário,Kalmar
Amane Romeo,Häcken
Tim Rönning,Elfsborg
Otto Rosengren,Mjällby
Mikkel Rygaard Jensen,Häcken
André Rømer,Elfsborg
Sean Sabetkar,Degerfors
Besard Sabovic,Djurgården
Filip Sachpekidis,Kalmar
Loret Sadiku,Hammarby
Ibrahim Sadiq,Häcken
Abdelrahman Saidi,Degerfors
Abdelrahman Saidi,Hammarby
Abundance Salaou,Göteborg
Dino Salihovic,Norrköping
Saidu Salisu,Göteborg
Justin Salmon,Degerfors
Emil Salomonsson,Göteborg
Tobias Sana,Häcken
Tobias Sana,Göteborg
Simon Sandberg,Hammarby
Rasmus Schüller,Djurgården
Patriot Sejdiu,Malmö
Astrit Seljmani,Hammarby
Maic Sema,Norrköping
Laorent Shabani,Norrköping
Laorent Shabani,Sirius
Noah Shamoun,Kalmar
Collins Shichenje,AIK
Mahame Siby,Malmö
Arnór Sigurðsson,Norrköping
Pontus Silfwer,Sundsvall
Taylor Silverholt,Mjällby
Moonga Simba,Värnamo
Robin Simovi?,Varberg
Filipe Sissé,Varberg
Rasmus Sjöstedt,Kalmar
Simon Skrabb,Kalmar
Noah Söderberg,Elfsborg
Momodou Sonko,Häcken
Erik Sorga,Göteborg
Isak Ssewankambo,Sirius
Adam Ståhl,Mjällby
Oliver Stanisic,Varberg
Nicolás Stefanelli,AIK
Johan Stenmark,Kalmar
Teodor Stenshagen,Sundsvall
Daniel Stensson,Sundsvall
Daniel Stensson,Sirius
Simon Strand,Elfsborg
Tom Strannegard,AIK
Yukiya Sugita,Sirius
Ali Suljic,Helsingborg
Joel Sundström,Varberg
Hannes Sveijer,Sirius
Gustav Svensson,Göteborg
Oskar Sverrisson,Varberg
Williot Swedberg,Hammarby
Edi Sylisufaj,Sirius
Lars Sætra,Kalmar
Franklin Tebo,Häcken
Christopher Telo,Norrköping
Simon Thern,Göteborg
Vincent Thill,AIK
Darrell Tibell,Norrköping
Robin Tihi,Värnamo
Ola Toivonen,Malmö
Noel Törnqvist,Mjällby
Tomas Totland,Häcken
Robin Tranberg,Varberg
Bubacarr Trawally,Hammarby
Filip Trpchevski,Häcken
Alexandros Tsotidis,Djurgården
Ravy Tsouka,Helsingborg
Blair Turgott,Häcken
Oscar Uddenäs,Häcken
Pavle Vagi?,Hammarby
Tommi Vaiho,Sirius
Leo Väisänen,Elfsborg
Pilip Vajciachovi?,Värnamo
Óli Valur Ómarsson,Sirius
Aleksandr Vasyutin,Djurgården
Adam Vikman,Sirius
Oscar Vilhelmsson,Göteborg
Charlie Vindehall,Värnamo
Jakob Voelkerling,Sirius
Francis de Vries,Värnamo
Dijan Vukojevic,Degerfors
Linus Wahlqvist,Norrköping
Charlie Weberg,Helsingborg
Wenderson,Värnamo
Oscar Wendt,Göteborg
Felix Wennergrund,Värnamo
Alfie Whiteman,Degerfors
Casper Widell,Helsingborg
Jacob Widell Zetterström,Djurgården
Dennis Widgren,Hammarby
Dennis Widgren,Sirius
Rasmus Wiedesheim,Mjällby
Rasmus Wiedesheim,Helsingborg
Gustav Wikheim,Djurgården
Albin Winbo,Varberg
Freddy Winsth,Värnamo
Kevin Wright,Sirius
Magnus Wørts,Mjällby
Kevin Yakob,Göteborg
Antonio Yakoub,Sirius
Saku Ylätupa,Sundsvall
Ali Youssef,Häcken
Hampus Zackrisson,Varberg
Oliver Zandén,Elfsborg
Moustafa Zeidan,Sirius
Moustafa Zeidan,Malmö
Ajdin Zeljkovic,Värnamo
Besfort Zeneli,Elfsborg
Nikola ?ur?i?,Degerfors
